Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4147.58it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Starting execution for 1561 samples (Method: bm25)...
[BM25] Sample 5/1561 | F1: 0.15 | J: 0 | Rec: 0
[BM25] Sample 8/1561 | F1: 0.26 | J: 0 | Rec: 0
[BM25] Sample 3/1561 | F1: 0.75 | J: 1 | Rec: 1
[BM25] Sample 7/1561 | F1: 0.65 | J: 1 | Rec: 0
[BM25] Sample 2/1561 | F1: 0.58 | J: 1 | Rec: 1
[BM25] Sample 1/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 10/1561 | F1: 0.30 | J: 1 | Rec: 0
[BM25] Sample 9/1561 | F1: 0.11 | J: 1 | Rec: 1
[BM25] Sample 4/1561 | F1: 0.10 | J: 0 | Rec: 0
[BM25] Sample 6/1561 | F1: 0.24 | J: 1 | Rec: 1
[BM25] Sample 11/1561 | F1: 0.30 | J: 1 | Rec: 1
[BM25] Sample 12/1561 | F1: 0.61 | J: 1 | Rec: 0
[BM25] Sample 13/1561 | F1: 0.58 | J: 1 | Rec: 1
[BM25] Sample 14/1561 | F1: 0.13 | J: 0 | Rec: 0
[BM25] Sample 15/1561 | F1: 0.34 | J: 1 | Rec: 1
[BM25] Sample 16/1561 | F1: 0.73 | J: 1 | Rec: 1
[BM25] Sample 17/1561 | F1: 0.63 | J: 1 | Rec: 1
[BM25] Sample 18/1561 | F1: 0.54 | J: 1 | Rec: 0
[BM25] Sample 19/1561 | F1: 0.21 | J: 0 | Rec: 0
[BM25] Sample 20/1561 | F1: 0.47 | J: 1 | Rec: 0
[BM25] Sample 21/1561 | F1: 0.26 | J: 0 | Rec: 0
[BM25] Sample 22/1561 | F1: 0.92 | J: 1 | Rec: 1
[BM25] Sample 23/1561 | F1: 0.18 | J: 1 | Rec: 0
[BM25] Sample 24/1561 | F1: 0.34 | J: 1 | Rec: 0
