Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4666.95it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: dense)...
[DENSE] Sample 1/1561 | F1: 0.26 | J: 0 | Rec: 0
[DENSE] Sample 5/1561 | F1: 0.07 | J: 0 | Rec: 0
[DENSE] Sample 4/1561 | F1: 0.07 | J: 0 | Rec: 1
[DENSE] Sample 7/1561 | F1: 0.36 | J: 1 | Rec: 1
[DENSE] Sample 10/1561 | F1: 0.34 | J: 1 | Rec: 0
[DENSE] Sample 8/1561 | F1: 0.18 | J: 0 | Rec: 1
[DENSE] Sample 3/1561 | F1: 0.12 | J: 0 | Rec: 0
[DENSE] Sample 2/1561 | F1: 0.39 | J: 0 | Rec: 0
[DENSE] Sample 9/1561 | F1: 0.15 | J: 1 | Rec: 1
[DENSE] Sample 6/1561 | F1: 0.31 | J: 1 | Rec: 1
[DENSE] Sample 11/1561 | F1: 0.12 | J: 1 | Rec: 0
[DENSE] Sample 12/1561 | F1: 0.46 | J: 1 | Rec: 0
[DENSE] Sample 13/1561 | F1: 0.47 | J: 1 | Rec: 1
[DENSE] Sample 14/1561 | F1: 0.19 | J: 1 | Rec: 0
[DENSE] Sample 15/1561 | F1: 0.32 | J: 1 | Rec: 1
[DENSE] Sample 16/1561 | F1: 0.96 | J: 1 | Rec: 1
[DENSE] Sample 17/1561 | F1: 0.60 | J: 1 | Rec: 1
[DENSE] Sample 18/1561 | F1: 0.26 | J: 0 | Rec: 0
[DENSE] Sample 19/1561 | F1: 0.12 | J: 0 | Rec: 0
[DENSE] Sample 20/1561 | F1: 0.08 | J: 0 | Rec: 0
[DENSE] Sample 21/1561 | F1: 0.10 | J: 0 | Rec: 0
[DENSE] Sample 22/1561 | F1: 0.94 | J: 1 | Rec: 1
[DENSE] Sample 23/1561 | F1: 0.13 | J: 0 | Rec: 0
[DENSE] Sample 24/1561 | F1: 0.12 | J: 0 | Rec: 0
[DENSE] Sample 25/1561 | F1: 0.56 | J: 0 | Rec: 1
[DENSE] Sample 26/1561 | F1: 0.25 | J: 0 | Rec: 1
[DENSE] Sample 27/1561 | F1: 0.28 | J: 1 | Rec: 1
[DENSE] Sample 28/1561 | F1: 0.25 | J: 0 | Rec: 1
[DENSE] Sample 29/1561 | F1: 0.19 | J: 0 | Rec: 1
[DENSE] Sample 30/1561 | F1: 0.64 | J: 1 | Rec: 1
[DENSE] Sample 31/1561 | F1: 0.21 | J: 0 | Rec: 0
[DENSE] Sample 32/1561 | F1: 0.31 | J: 1 | Rec: 1
[DENSE] Sample 33/1561 | F1: 0.28 | J: 0 | Rec: 1
[DENSE] Sample 34/1561 | F1: 0.43 | J: 1 | Rec: 1
[DENSE] Sample 35/1561 | F1: 0.41 | J: 1 | Rec: 1
[DENSE] Sample 36/1561 | F1: 0.19 | J: 1 | Rec: 1
[DENSE] Sample 37/1561 | F1: 0.24 | J: 0 | Rec: 0
[DENSE] Sample 38/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 39/1561 | F1: 0.59 | J: 1 | Rec: 1
[DENSE] Sample 40/1561 | F1: 0.48 | J: 1 | Rec: 1
[DENSE] Sample 41/1561 | F1: 0.22 | J: 0 | Rec: 0
[DENSE] Sample 42/1561 | F1: 0.49 | J: 1 | Rec: 1
[DENSE] Sample 43/1561 | F1: 0.19 | J: 0 | Rec: 1
[DENSE] Sample 44/1561 | F1: 0.22 | J: 0 | Rec: 0
[DENSE] Sample 45/1561 | F1: 0.70 | J: 1 | Rec: 1
[DENSE] Sample 46/1561 | F1: 0.44 | J: 1 | Rec: 1
[DENSE] Sample 47/1561 | F1: 0.42 | J: 0 | Rec: 0
[DENSE] Sample 48/1561 | F1: 0.49 | J: 1 | Rec: 1
[DENSE] Sample 49/1561 | F1: 0.35 | J: 1 | Rec: 0
[DENSE] Sample 50/1561 | F1: 0.38 | J: 1 | Rec: 1
[DENSE] Sample 51/1561 | F1: 0.33 | J: 1 | Rec: 1
[DENSE] Sample 52/1561 | F1: 0.76 | J: 1 | Rec: 0
[DENSE] Sample 53/1561 | F1: 0.11 | J: 1 | Rec: 0
[DENSE] Sample 54/1561 | F1: 0.23 | J: 1 | Rec: 1
[DENSE] Sample 55/1561 | F1: 0.40 | J: 0 | Rec: 0
[DENSE] Sample 56/1561 | F1: 0.40 | J: 0 | Rec: 0
[DENSE] Sample 57/1561 | F1: 0.20 | J: 1 | Rec: 0
[DENSE] Sample 58/1561 | F1: 0.42 | J: 1 | Rec: 1
[DENSE] Sample 59/1561 | F1: 0.46 | J: 1 | Rec: 1
[DENSE] Sample 60/1561 | F1: 0.68 | J: 1 | Rec: 1
[DENSE] Sample 61/1561 | F1: 0.16 | J: 0 | Rec: 0
[DENSE] Sample 62/1561 | F1: 0.13 | J: 0 | Rec: 0
[DENSE] Sample 63/1561 | F1: 0.23 | J: 0 | Rec: 0
[DENSE] Sample 64/1561 | F1: 0.42 | J: 1 | Rec: 1
[DENSE] Sample 65/1561 | F1: 0.25 | J: 0 | Rec: 0
[DENSE] Sample 66/1561 | F1: 0.29 | J: 1 | Rec: 1
[DENSE] Sample 67/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 68/1561 | F1: 0.35 | J: 0 | Rec: 0
[DENSE] Sample 69/1561 | F1: 0.34 | J: 1 | Rec: 0
[DENSE] Sample 70/1561 | F1: 0.21 | J: 1 | Rec: 0
[DENSE] Sample 71/1561 | F1: 0.19 | J: 1 | Rec: 1
[DENSE] Sample 72/1561 | F1: 0.10 | J: 0 | Rec: 0
[DENSE] Sample 73/1561 | F1: 0.35 | J: 1 | Rec: 1
[DENSE] Sample 74/1561 | F1: 0.21 | J: 1 | Rec: 0
[DENSE] Sample 75/1561 | F1: 0.11 | J: 1 | Rec: 0
[DENSE] Sample 76/1561 | F1: 0.59 | J: 0 | Rec: 0
[DENSE] Sample 77/1561 | F1: 0.24 | J: 0 | Rec: 1
[DENSE] Sample 78/1561 | F1: 0.22 | J: 0 | Rec: 0
[DENSE] Sample 79/1561 | F1: 0.17 | J: 0 | Rec: 0
[DENSE] Sample 80/1561 | F1: 0.45 | J: 1 | Rec: 1
[DENSE] Sample 81/1561 | F1: 0.21 | J: 0 | Rec: 0
[DENSE] Sample 82/1561 | F1: 0.35 | J: 1 | Rec: 0
[DENSE] Sample 83/1561 | F1: 0.35 | J: 0 | Rec: 0
[DENSE] Sample 84/1561 | F1: 0.45 | J: 1 | Rec: 0
[DENSE] Sample 85/1561 | F1: 0.23 | J: 0 | Rec: 0
[DENSE] Sample 86/1561 | F1: 0.52 | J: 1 | Rec: 1
[DENSE] Sample 87/1561 | F1: 0.33 | J: 0 | Rec: 1
[DENSE] Sample 88/1561 | F1: 0.27 | J: 0 | Rec: 0
[DENSE] Sample 89/1561 | F1: 0.21 | J: 1 | Rec: 0
[DENSE] Sample 90/1561 | F1: 0.17 | J: 1 | Rec: 0
[DENSE] Sample 91/1561 | F1: 0.24 | J: 1 | Rec: 1
[DENSE] Sample 92/1561 | F1: 0.30 | J: 1 | Rec: 1
[DENSE] Sample 93/1561 | F1: 0.28 | J: 1 | Rec: 0
[DENSE] Sample 94/1561 | F1: 0.22 | J: 0 | Rec: 0
[DENSE] Sample 95/1561 | F1: 0.26 | J: 0 | Rec: 1
[DENSE] Sample 96/1561 | F1: 0.42 | J: 1 | Rec: 0
[DENSE] Sample 97/1561 | F1: 0.89 | J: 1 | Rec: 1
[DENSE] Sample 98/1561 | F1: 0.49 | J: 1 | Rec: 1
[DENSE] Sample 99/1561 | F1: 0.49 | J: 1 | Rec: 1
[DENSE] Sample 100/1561 | F1: 0.30 | J: 0 | Rec: 0
[DENSE] Sample 101/1561 | F1: 0.40 | J: 1 | Rec: 1
[DENSE] Sample 102/1561 | F1: 0.47 | J: 1 | Rec: 0
[DENSE] Sample 103/1561 | F1: 0.92 | J: 1 | Rec: 1
[DENSE] Sample 104/1561 | F1: 0.16 | J: 1 | Rec: 1
[DENSE] Sample 105/1561 | F1: 0.12 | J: 1 | Rec: 1
[DENSE] Sample 106/1561 | F1: 0.22 | J: 0 | Rec: 0
[DENSE] Sample 107/1561 | F1: 0.59 | J: 1 | Rec: 1
[DENSE] Sample 108/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 109/1561 | F1: 0.30 | J: 1 | Rec: 1
[DENSE] Sample 110/1561 | F1: 0.87 | J: 1 | Rec: 1
[DENSE] Sample 111/1561 | F1: 0.33 | J: 1 | Rec: 0
[DENSE] Sample 112/1561 | F1: 0.78 | J: 1 | Rec: 1
[DENSE] Sample 113/1561 | F1: 0.47 | J: 1 | Rec: 1
[DENSE] Sample 114/1561 | F1: 0.89 | J: 1 | Rec: 1
[DENSE] Sample 115/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 116/1561 | F1: 0.30 | J: 1 | Rec: 1
[DENSE] Sample 117/1561 | F1: 0.17 | J: 0 | Rec: 0
[DENSE] Sample 118/1561 | F1: 0.28 | J: 0 | Rec: 0
[DENSE] Sample 119/1561 | F1: 0.41 | J: 1 | Rec: 0
[DENSE] Sample 120/1561 | F1: 0.32 | J: 0 | Rec: 1
[DENSE] Sample 121/1561 | F1: 0.36 | J: 0 | Rec: 0
[DENSE] Sample 122/1561 | F1: 0.30 | J: 1 | Rec: 1
[DENSE] Sample 123/1561 | F1: 0.55 | J: 1 | Rec: 1
[DENSE] Sample 124/1561 | F1: 0.09 | J: 0 | Rec: 0
[DENSE] Sample 125/1561 | F1: 0.25 | J: 0 | Rec: 0
[DENSE] Sample 126/1561 | F1: 0.30 | J: 1 | Rec: 0
[DENSE] Sample 127/1561 | F1: 0.14 | J: 1 | Rec: 0
[DENSE] Sample 128/1561 | F1: 0.22 | J: 1 | Rec: 0
[DENSE] Sample 129/1561 | F1: 0.12 | J: 1 | Rec: 0
[DENSE] Sample 130/1561 | F1: 0.82 | J: 1 | Rec: 1
[DENSE] Sample 131/1561 | F1: 0.87 | J: 1 | Rec: 0
[DENSE] Sample 132/1561 | F1: 0.82 | J: 1 | Rec: 1
[DENSE] Sample 133/1561 | F1: 0.25 | J: 0 | Rec: 0
[DENSE] Sample 134/1561 | F1: 0.79 | J: 1 | Rec: 0
[DENSE] Sample 135/1561 | F1: 0.25 | J: 1 | Rec: 0
[DENSE] Sample 136/1561 | F1: 0.38 | J: 1 | Rec: 1
[DENSE] Sample 137/1561 | F1: 0.52 | J: 1 | Rec: 1
[DENSE] Sample 138/1561 | F1: 0.20 | J: 0 | Rec: 1
[DENSE] Sample 139/1561 | F1: 0.79 | J: 1 | Rec: 0
[DENSE] Sample 140/1561 | F1: 0.33 | J: 0 | Rec: 0
[DENSE] Sample 141/1561 | F1: 0.26 | J: 0 | Rec: 0
[DENSE] Sample 142/1561 | F1: 0.19 | J: 1 | Rec: 0
[DENSE] Sample 143/1561 | F1: 0.46 | J: 1 | Rec: 1
[DENSE] Sample 144/1561 | F1: 0.85 | J: 1 | Rec: 1
[DENSE] Sample 145/1561 | F1: 0.51 | J: 1 | Rec: 1
[DENSE] Sample 146/1561 | F1: 0.59 | J: 1 | Rec: 0
[DENSE] Sample 147/1561 | F1: 0.36 | J: 1 | Rec: 1
[DENSE] Sample 148/1561 | F1: 0.58 | J: 0 | Rec: 0
[DENSE] Sample 149/1561 | F1: 0.15 | J: 0 | Rec: 0
[DENSE] Sample 150/1561 | F1: 0.39 | J: 1 | Rec: 0
[DENSE] Sample 151/1561 | F1: 0.18 | J: 1 | Rec: 1
[DENSE] Sample 152/1561 | F1: 0.14 | J: 1 | Rec: 1
[DENSE] Sample 153/1561 | F1: 0.10 | J: 1 | Rec: 1
[DENSE] Sample 154/1561 | F1: 0.19 | J: 1 | Rec: 0
[DENSE] Sample 155/1561 | F1: 0.22 | J: 0 | Rec: 1
[DENSE] Sample 156/1561 | F1: 0.64 | J: 1 | Rec: 0
[DENSE] Sample 157/1561 | F1: 0.33 | J: 1 | Rec: 0
[DENSE] Sample 158/1561 | F1: 0.29 | J: 1 | Rec: 0
[DENSE] Sample 159/1561 | F1: 0.17 | J: 0 | Rec: 0
[DENSE] Sample 160/1561 | F1: 0.19 | J: 1 | Rec: 0
[DENSE] Sample 161/1561 | F1: 0.12 | J: 1 | Rec: 0
[DENSE] Sample 162/1561 | F1: 0.30 | J: 1 | Rec: 0
[DENSE] Sample 163/1561 | F1: 0.16 | J: 0 | Rec: 1
[DENSE] Sample 164/1561 | F1: 0.64 | J: 1 | Rec: 1
