Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4257.16it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: hybrid)...
[HYBRID] Sample 1/1561 | F1: 0.22 | J: 1 | Rec: 1
[HYBRID] Sample 5/1561 | F1: 0.05 | J: 0 | Rec: 0
[HYBRID] Sample 7/1561 | F1: 0.37 | J: 1 | Rec: 0
[HYBRID] Sample 6/1561 | F1: 0.32 | J: 1 | Rec: 1
[HYBRID] Sample 4/1561 | F1: 0.17 | J: 0 | Rec: 0
[HYBRID] Sample 3/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 2/1561 | F1: 0.44 | J: 1 | Rec: 1
[HYBRID] Sample 10/1561 | F1: 0.34 | J: 1 | Rec: 0
[HYBRID] Sample 8/1561 | F1: 0.23 | J: 1 | Rec: 0
[HYBRID] Sample 9/1561 | F1: 0.09 | J: 1 | Rec: 1
[HYBRID] Sample 11/1561 | F1: 0.33 | J: 1 | Rec: 1
[HYBRID] Sample 12/1561 | F1: 0.39 | J: 1 | Rec: 0
[HYBRID] Sample 13/1561 | F1: 0.63 | J: 1 | Rec: 1
[HYBRID] Sample 14/1561 | F1: 0.16 | J: 1 | Rec: 0
[HYBRID] Sample 15/1561 | F1: 0.42 | J: 1 | Rec: 0
[HYBRID] Sample 16/1561 | F1: 0.96 | J: 1 | Rec: 1
[HYBRID] Sample 17/1561 | F1: 0.62 | J: 1 | Rec: 1
[HYBRID] Sample 18/1561 | F1: 0.18 | J: 0 | Rec: 0
[HYBRID] Sample 19/1561 | F1: 0.19 | J: 0 | Rec: 0
[HYBRID] Sample 20/1561 | F1: 0.27 | J: 1 | Rec: 0
[HYBRID] Sample 21/1561 | F1: 0.28 | J: 0 | Rec: 0
[HYBRID] Sample 22/1561 | F1: 0.92 | J: 1 | Rec: 1
[HYBRID] Sample 23/1561 | F1: 0.20 | J: 1 | Rec: 0
[HYBRID] Sample 24/1561 | F1: 0.51 | J: 1 | Rec: 0
[HYBRID] Sample 25/1561 | F1: 0.26 | J: 0 | Rec: 1
[HYBRID] Sample 26/1561 | F1: 0.72 | J: 0 | Rec: 1
[HYBRID] Sample 27/1561 | F1: 0.35 | J: 0 | Rec: 1
[HYBRID] Sample 28/1561 | F1: 0.21 | J: 0 | Rec: 1
[HYBRID] Sample 29/1561 | F1: 0.23 | J: 0 | Rec: 1
[HYBRID] Sample 30/1561 | F1: 0.16 | J: 0 | Rec: 1
[HYBRID] Sample 31/1561 | F1: 0.62 | J: 1 | Rec: 1
[HYBRID] Sample 32/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 33/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 34/1561 | F1: 0.52 | J: 1 | Rec: 1
[HYBRID] Sample 35/1561 | F1: 0.62 | J: 1 | Rec: 1
[HYBRID] Sample 36/1561 | F1: 0.19 | J: 1 | Rec: 1
[HYBRID] Sample 37/1561 | F1: 0.47 | J: 1 | Rec: 1
[HYBRID] Sample 38/1561 | F1: 0.22 | J: 1 | Rec: 0
[HYBRID] Sample 39/1561 | F1: 0.58 | J: 1 | Rec: 1
[HYBRID] Sample 40/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 41/1561 | F1: 0.40 | J: 0 | Rec: 1
[HYBRID] Sample 42/1561 | F1: 0.48 | J: 1 | Rec: 1
[HYBRID] Sample 43/1561 | F1: 0.18 | J: 0 | Rec: 0
[HYBRID] Sample 44/1561 | F1: 0.33 | J: 1 | Rec: 0
[HYBRID] Sample 45/1561 | F1: 0.70 | J: 1 | Rec: 0
[HYBRID] Sample 46/1561 | F1: 0.45 | J: 1 | Rec: 1
[HYBRID] Sample 47/1561 | F1: 0.36 | J: 1 | Rec: 0
[HYBRID] Sample 48/1561 | F1: 0.54 | J: 1 | Rec: 1
[HYBRID] Sample 49/1561 | F1: 0.77 | J: 1 | Rec: 1
[HYBRID] Sample 50/1561 | F1: 0.34 | J: 1 | Rec: 1
[HYBRID] Sample 51/1561 | F1: 0.35 | J: 1 | Rec: 1
[HYBRID] Sample 52/1561 | F1: 0.65 | J: 1 | Rec: 0
[HYBRID] Sample 53/1561 | F1: 0.13 | J: 1 | Rec: 1
[HYBRID] Sample 54/1561 | F1: 0.24 | J: 1 | Rec: 0
[HYBRID] Sample 55/1561 | F1: 0.30 | J: 0 | Rec: 0
[HYBRID] Sample 56/1561 | F1: 1.00 | J: 1 | Rec: 1
[HYBRID] Sample 57/1561 | F1: 0.25 | J: 0 | Rec: 0
[HYBRID] Sample 58/1561 | F1: 0.41 | J: 1 | Rec: 1
[HYBRID] Sample 59/1561 | F1: 0.71 | J: 1 | Rec: 1
[HYBRID] Sample 60/1561 | F1: 0.72 | J: 1 | Rec: 1
[HYBRID] Sample 61/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 62/1561 | F1: 0.45 | J: 1 | Rec: 1
[HYBRID] Sample 63/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 64/1561 | F1: 0.88 | J: 1 | Rec: 1
[HYBRID] Sample 65/1561 | F1: 0.73 | J: 1 | Rec: 1
[HYBRID] Sample 66/1561 | F1: 0.30 | J: 1 | Rec: 1
[HYBRID] Sample 67/1561 | F1: 0.50 | J: 1 | Rec: 1
[HYBRID] Sample 68/1561 | F1: 0.13 | J: 0 | Rec: 0
[HYBRID] Sample 69/1561 | F1: 0.25 | J: 0 | Rec: 0
[HYBRID] Sample 70/1561 | F1: 0.26 | J: 1 | Rec: 0
[HYBRID] Sample 71/1561 | F1: 0.30 | J: 1 | Rec: 1
[HYBRID] Sample 72/1561 | F1: 0.20 | J: 0 | Rec: 1
[HYBRID] Sample 73/1561 | F1: 0.63 | J: 1 | Rec: 1
